Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude,price_m2,x,y
530000,1300,107,2,2,1,1,0,0,0,0,Mooca/São Paulo,sale,apartment,-23.5671568,-46.5913476,4953.271028037383,337591.27251684444,7392791.965178916
425000,450,64,2,2,1,2,1,0,1,0,Mooca/São Paulo,sale,apartment,-23.5577328,-46.5815283,6640.625,338582.061152848,7393846.645319756
900000,970,112,3,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5564048,-46.606369,8035.714285714285,336044.60685906396,7393965.502166843
495000,0,60,2,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5618727,-46.5801711,8250.0,338725.6621295436,7393389.735648334
350000,600,79,2,1,0,1,0,0,0,0,Mooca/São Paulo,sale,apartment,-23.5803283,-46.5915894,4430.379746835443,337582.7988298737,7391333.117806747
1000000,820,122,3,3,2,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5623176,-46.6037017,8196.72131147541,336324.2229944685,7393313.783768915
636000,0,74,2,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5552465,-46.5883667,8594.594594594595,337880.9296281906,7394114.250060391
420000,0,63,2,1,0,1,1,0,0,0,Mooca/São Paulo,sale,apartment,-23.5673715,-46.5799297,6666.666666666667,338757.01845361805,7392781.089421403
459400,0,68,3,2,1,1,1,0,1,1,Mooca/São Paulo,sale,apartment,-23.5471924,-46.6056923,6755.882352941177,336102.26043973345,7394986.432483901
670000,1480,110,3,2,1,2,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5633306,-46.594232,6090.909090909091,337292.13175356353,7393212.393900445
270000,250,35,1,2,1,1,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5560586,-46.6194463,7714.285714285715,334709.1855267318,7393988.816420345
999000,1800,190,2,3,2,3,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5585862,-46.6001676,5257.894736842105,336680.3679647821,7393731.021661006
560000,750,110,2,1,0,1,0,1,0,0,Mooca/São Paulo,sale,apartment,-23.5608778,-46.6015356,5090.909090909091,336543.55536013655,7393475.696285278
550000,770,80,3,2,1,2,0,1,1,0,Mooca/São Paulo,sale,apartment,-23.5568517,-46.6043505,6875.0,336251.21763612016,7393918.32165288
689900,500,86,3,2,1,1,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.55736,-46.6046844,8022.093023255814,336217.7620877918,7393861.65227806
620000,638,76,3,2,1,2,0,1,1,0,Mooca/São Paulo,sale,apartment,-23.5515271,-46.6021199,8157.894736842105,336472.3351739913,7394510.500072893
410000,360,63,3,2,1,1,0,1,1,0,Mooca/São Paulo,sale,apartment,-23.5496259,-46.6113732,6507.936507936508,335525.31834018993,7394710.446326606
229310,480,60,2,1,0,1,1,0,0,0,Mooca/São Paulo,sale,apartment,-23.5537483,-46.6220122,3821.8333333333335,334444.3506793664,7394241.692308965
580000,1368,125,3,2,1,1,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.561358,-46.5985842,4640.0,336845.4289176059,7393425.884322938
270000,300,77,2,1,0,1,1,0,0,0,Mooca/São Paulo,sale,apartment,-23.5544909,-46.5933179,3506.4935064935066,337374.5585982704,7394192.313015066
490245,550,65,2,2,1,1,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5618259,-46.5801923,7542.2307692307695,338723.440904376,7393394.894251794
530000,0,68,2,2,1,2,0,0,0,0,Mooca/São Paulo,sale,apartment,-23.5703151,-46.5759618,7794.117647058823,339165.62664044945,7392459.5866803005
320000,740,55,2,1,0,1,0,0,1,0,Mooca/São Paulo,sale,apartment,-23.5585178,-46.5948037,5818.181818181818,337227.84224100667,7393744.6995660495
480000,0,72,3,1,0,1,1,0,0,0,Mooca/São Paulo,sale,apartment,-23.5587624,-46.5941499,6666.666666666667,337294.88482646155,7393718.35585069
1408000,1600,108,2,3,2,2,0,0,0,0,Brooklin/São Paulo,sale,apartment,-23.6040517,-46.6948844,13037.037037037036,327070.9073288739,7388584.966509491
579000,390,63,2,2,1,1,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.622119,-46.686306,9190.47619047619,327969.9294056784,7386594.518811477
670000,790,63,2,2,1,2,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.5634559,-46.6408459,10634.920634920634,332533.98145897087,7393144.802304734
540000,1000,75,2,1,0,1,0,0,0,0,Brooklin/São Paulo,sale,apartment,-23.605129,-46.692501,7200.0,327315.545665934,7388468.544707805
1400000,1200,125,3,4,3,3,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6223085,-46.6956178,11200.0,327020.0373478496,7386562.293705506
980000,1200,83,1,2,1,1,0,1,1,0,Brooklin/São Paulo,sale,apartment,-23.6099141,-46.6816952,11807.22891566265,328424.50008688105,7387951.644268844
870000,900,97,3,2,1,1,0,0,1,0,Brooklin/São Paulo,sale,apartment,-23.6110106,-46.6825191,8969.072164948453,328341.8534683335,7387829.227923812
